id;display_name;tube_types;manufacturer_scope;anode_voltage;nominal_anode_current_ma;max_anode_power_w;screen_voltage;nominal_screen_current_ma;max_screen_power_w;reason;source_sha256
MFR25_EF89_PHILIPS_9c92840c35;[BLOKADA v2.44] EF89 — Philips — READY;EF89;Philips;250.0;9.0;2.25;85.0;3.2;0.45;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;c78e3a50d481d12b53d80fb394e11a291f41f6b3421a89a2ddfb1bd1f158763c
MFR21_EL34_PHILIPS_22c71964ee;[BLOKADA v2.44] EL34 — Philips — READY;EL34;Philips;250.0;100.0;25.0;250.0;15.0;8.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;0d2d73430a7584bd5576e17aa98c1c9c1958d18634b0768e2571b169f9002a21
MFR25_EL84_PHILIPS_62a6b76eb5;[BLOKADA v2.44] EL84 — Philips — READY;EL84;Philips;250.0;48.0;12.0;250.0;5.5;2.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;904e635333f1b39e14289479a3fd5d520e6fa539c2566955bb2f8e6346a069d9
MFR25_EL86_PHILIPS_4272dd675d;[BLOKADA v2.44] EL86 — Philips — READY;EL86;Philips;170.0;70.0;12.0;170.0;3.5;1.75;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;5ad0a1534d4f8cce24d0eff1f7b49f83d0767b9f19a71285925bbda94de8a91f
EL95_PHILIPS_250_250_BLOCKED;[BLOKADA v2.44] EL95 — Philips — READY;EL95;Philips;250.0;24.0;6.0;250.0;4.5;1.25;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;fbee2259311833cedcdd503cb456db99882da955926268c4bdf18ff37f772dc2
PCL82_PHILIPS_PENTODE_170V_BLOCKED;[BLOKADA v2.44] PCL82 — Philips — READY;PCL82;Philips;170.0;41.0;7.0;170.0;9.0;1.8;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;28dae0c891545113dcf1a664596eb10afe037923b123d232cadf9df919c85b6d
PCL85_PHILIPS_TRIODE_100V_BLOCKED;[BLOKADA v2.44] PCL85 — Philips — READY;PCL85 / PCL805;Philips;100.0;5.0;0.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;07b914a30968ce644e82b02e38dbaf45a7c0a057fef720bf6c5e723bbe674e6b
PCL86_PHILIPS_PENTODE_230V_BLOCKED;[BLOKADA v2.44] PCL86 — Philips — READY;PCL86;Philips;230.0;39.0;9.0;230.0;6.5;1.8;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;6a3b86ec0dcca62f797d92793a657f8b6301e8749bf68033f1e50f8639f04516
MFR26_6201_RCA_8977f79c82;[BLOKADA v2.44] 6201 — RCA — READY;6201;RCA;250.0;10.0;2.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;64cda1e733c86a73298fc2b7be5ab1ebf5e50052f59e8efe8a42d76b8ccfa66b
MFR25_12AU7A_RCA_HB3_1332b2f64c;[BLOKADA v2.44] 12AU7A — RCA (HB3) — READY;12AU7A;RCA (HB3);250.0;10.5;2.75;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;aee0c6b6a14449abc9595e584814271cee87ee9f6dbfd0c179edd812d8606ad0
2A3_RCA_250V_BLOCKED;[BLOKADA v2.44] 2A3 — RCA (HB3) — READY;2A3;RCA (HB3);250.0;60.0;15.0;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;2fb4d8eda196750c2a0fc86b67d1ef74d706e1d6fd11eb367b2af541c641ac4e
MFR26_6201_RCA_HB3_ea608889ea;[BLOKADA v2.44] 6201 — RCA (HB3) — READY;6201;RCA (HB3);250.0;10.0;2.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;e447892c939a06d125e2397ada5711fd4b9d27a0a4212f6fca818e0975acf4d1
6550_RCA_250_250_BLOCKED;[BLOKADA v2.44] 6550 — RCA (HB3) — READY;6550;RCA (HB3);250.0;140.0;35.0;250.0;12.0;6.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;ab71b6a6bc3be68215f1e417192c86c62752519f1eae3bbc3c370eae839e077e
MFR20_6BL7GTA_RCA_HB3_65b18e1fa5;[BLOKADA v2.44] 6BL7GTA — RCA (HB3) — READY;6BL7GTA;RCA (HB3);250.0;40.0;10.0;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;a0e9f7c654b7289122a91f137454e019dcf0f195bed6dad8d83c28bafbbacc92
MFR25_6BQ5_RCA_HB3_aa7287c8da;[BLOKADA v2.44] 6BQ5 — RCA (HB3) — READY;6BQ5;RCA (HB3);250.0;48.0;12.0;250.0;5.5;2.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;d4cb3a0c1f2de280f38067816d71f0f83a9afe65008f89254b4994594cc1eab9
MFR20_6EH7_RCA_HB3_89e0b1026a;[BLOKADA v2.44] 6EH7 — RCA (HB3) — READY;6EH7;RCA (HB3);200.0;12.0;2.5;90.0;4.5;0.65;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;8e33f57bd34372c9a73562183ccdf992414b6bffd1081871249ef759808aeff6
MFR26_6F6_RCA_HB3_635bb3816f;[BLOKADA v2.44] 6F6 — RCA (HB3) — READY;6F6;RCA (HB3);285.0;38.0;11.0;285.0;7.0;3.3;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;6462240dbec5d3659a4186360cf6b440935f7b56e827253ad70eeaaf900443b1
MFR21_6GW8_RCA_HB3_061c1d1ce7;[BLOKADA v2.44] 6GW8 — RCA (HB3) — READY;6GW8;RCA (HB3);250.0;36.0;9.0;250.0;6.0;1.8;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;2c4e9c79b941bf35ff4b61d67a2471f018657be4c09ef768925ebcc7f8125de0
MFR21_7189_RCA_HB3_e2bc95a402;[BLOKADA v2.44] 7189 — RCA (HB3) — READY;7189;RCA (HB3);250.0;48.0;12.0;250.0;5.5;2.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;37bb93a55c4d0d5c44949711a497f3312416285284be574e0895199704e3ca99
ECL86_RCA_PENTODE_250_250;[BLOKADA v2.44] ECL86 — RCA (HB3) — READY;ECL86 / 6GW8;RCA (HB3);250.0;36.0;9.0;250.0;6.0;1.8;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;2c4e9c79b941bf35ff4b61d67a2471f018657be4c09ef768925ebcc7f8125de0
MFR27_12AT7_RCA_RC30_64a5965242;[BLOKADA v2.44] 12AT7 — RCA (RC30) — READY;12AT7;RCA (RC30);250.0;10.0;2.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;ecdce7f27b2db0ce21b1178169cb9f11920afdde6890ac355129957bef5ddd2c
MFR26_6201_RCA_RC30_beab68bab8;[BLOKADA v2.44] 6201 — RCA (RC30) — READY;6201;RCA (RC30);250.0;10.0;2.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;ecdce7f27b2db0ce21b1178169cb9f11920afdde6890ac355129957bef5ddd2c
MFR21_6BL7GTA_RCA_RC30_043ea2b025;[BLOKADA v2.44] 6BL7GTA — RCA (RC30) — READY;6BL7GTA;RCA (RC30);250.0;40.0;10.0;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;7016dbe4286f0353f4919dab891c360a4d867f568b1761728e015ae7b9bf1610
MFR27_ECC85_RCA_RC30_0ebaf91678;[BLOKADA v2.44] ECC85 — RCA (RC30) — READY;ECC85;RCA (RC30);250.0;10.0;2.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;a60b46255ae3479dc15aa9ea59dacbccae8e4432cb3ed802fc363b70c8561177
ECL85_RCA_6GV8_TRIODE_100V_BLOCKED;[BLOKADA v2.44] ECL85 — RCA (RC30) — READY;ECL85;RCA (RC30);100.0;5.0;0.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;57da70ba9f81f646a1f186fad87429f937a170a05648ba56b3d7bf9d79ea19eb
MFR21_ECL85_RCA_RC30_73945a869b;[BLOKADA v2.44] ECL85 — RCA (RC30) — READY;ECL85;RCA (RC30);170.0;41.0;7.0;170.0;2.7;2.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;57da70ba9f81f646a1f186fad87429f937a170a05648ba56b3d7bf9d79ea19eb
MFR25_ECC81_RFT_15952e54e6;[BLOKADA v2.44] ECC81 — RFT — READY;ECC81;RFT;250.0;10.0;2.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;d1ee9df086db9114524a296d3b20402013875725537bf7547512c5398d8e3189
MFR25_ECC82_RFT_f39fc0b4fb;[BLOKADA v2.44] ECC82 — RFT — READY;ECC82;RFT;250.0;10.5;2.75;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;7d73d3ab4f5d813c28d84cecc59e8547a7ebd776f0ac20d2dba5b614fd5f0383
MFR20_12AT7WA_RAYTHEON_537e16ebd2;[BLOKADA v2.44] 12AT7WA — Raytheon — READY;12AT7WA;Raytheon;250.0;10.0;2.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;bf2af2e46d00c22dbd4d61c169231b363911bf323553ec407bf165ce6cf2c7d4
MFR21_6AQ8_ROGERS_907fd880e4;[BLOKADA v2.44] 6AQ8 — Rogers — READY;6AQ8;Rogers;250.0;10.0;2.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;bfebd42bfc05a37aef1b573c3d314cae4a1cc602d4dfe9f4af917547d23ed522
FULL_7119_ROGERS_0248a22db890;[BLOKADA v2.44] 7119 — Rogers — READY;7119;Rogers;120.0;36.0;4.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;426a1ae73fdb768c3f2dea3e9046f0e19441af267d25b235e62f73e3e7a73602
MFR27_6201_E81CC_SIEMENS_b2a0712458;[BLOKADA v2.44] 6201 — Siemens — READY;6201 (= E81CC);Siemens;250.0;10.0;2.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;f699cfffbb3b59a94908340ab5f88b3720a81e74eb505eb5c8611cc5aa61af44
MFR21_E81CC_SIEMENS_167cea3c9b;[BLOKADA v2.44] E81CC — Siemens — READY;E81CC;Siemens;250.0;10.0;2.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;f699cfffbb3b59a94908340ab5f88b3720a81e74eb505eb5c8611cc5aa61af44
EL34_SVETLANA_250_250_BLOCKED;[BLOKADA v2.44] EL34 — Svetlana — READY;EL34 / 6CA7;Svetlana;250.0;100.0;25.0;250.0;15.0;8.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;f476efe6b0018feae92200c916e7a4cf58fa7a55651a6705729d7e777416db8a
SV6550C_SVETLANA_400_225_BLOCKED;[BLOKADA v2.44] SV6550C — Svetlana — READY;SV6550C;Svetlana;400.0;87.0;35.0;225.0;4.0;6.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;b9b085d53fa80ebd48ae9ed4249de0f302252ab0369ce85a75e8aa1cb9888f76
6AN8_SYLVANIA_TRIODE_200V_BLOCKED;[BLOKADA v2.44] 6AN8 — Sylvania — READY;6AN8 / 6AN8A / 6AN8-A;Sylvania;200.0;13.0;2.6;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;d30a6b00d316ce970f1afe5689fc137a7ccb849fa47bc5b507d33f5d03cda2a3
MFR26_6CZ5_SYLVANIA_d358f32bb3;[BLOKADA v2.44] 6CZ5 — Sylvania — READY;6CZ5;Sylvania;250.0;46.0;12.0;250.0;4.6;2.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;572377a15d0a543612cbe56a5e17eefc7d7865f7d688aa5510dc86e085f68c9e
MFR25_6F6_SYLVANIA_3c2fd09626;[BLOKADA v2.44] 6F6 — Sylvania — READY;6F6;Sylvania;285.0;38.0;11.0;285.0;7.0;3.75;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;a66eb7d348a35327304c6e086b8161199bbc3b5f8cea12a452e7586333059498
MFR25_12AT7_TUNG_SOL_1c72cbdfe1;[BLOKADA v2.44] 12AT7 — Tung-Sol — READY;12AT7;Tung-Sol;250.0;10.0;2.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;5bfbe1c093fa1070d3fa10ac4de20ae321b6099b2f6a06d7a3feddc5e08663a2
MFR20_5636_TUNG_SOL_e06d3a0385;[BLOKADA v2.44] 5636 — Tung-Sol — READY;5636;Tung-Sol;100.0;5.3;0.55;100.0;3.6;0.45;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;f717ca537a8d06a377443789e3294b7aeb5639ea409afa0b5113e0e0834bf8bf
MFR26_6201_TUNG_SOL_41727d2a3d;[BLOKADA v2.44] 6201 — Tung-Sol — READY;6201;Tung-Sol;250.0;10.0;2.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;9dae09ddefc8169dc40c94cbc50deb13bd67349239e1ed19a4c53ece53f64e1a
MFR20_6AC7_TUNG_SOL_c5ca1c2d97;[BLOKADA v2.44] 6AC7 — Tung-Sol — READY;6AC7;Tung-Sol;300.0;10.0;3.0;150.0;2.5;0.38;"BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve; screen_point_has_less_than_5_percent_power_reserve.";63edf71874832ebc7758c1b5f30139ffa9596495dfa141f789fc3759d08ec0c5
MFR20_6BL7GTA_TUNG_SOL_fa786fb502;[BLOKADA v2.44] 6BL7GTA — Tung-Sol — READY;6BL7GTA;Tung-Sol;250.0;40.0;10.0;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;e47dcd6c9dadda93e207546355ff447ed091d4c09cb385e01fad50f10b6c1f42
6BL8_TUNG_SOL_PENTODE_170_170_BLOCKED;[BLOKADA v2.44] 6BL8 — Tung-Sol — READY;6BL8;Tung-Sol;170.0;10.0;1.7;170.0;2.8;0.5;"BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve; screen_point_has_less_than_5_percent_power_reserve.";d721e009ab437ea51cfe8f95485a128b0181e9eba36084994fab03ab146edbe3
MFR25_6BQ5_TUNG_SOL_4afd02ceab;[BLOKADA v2.44] 6BQ5 — Tung-Sol — READY;6BQ5;Tung-Sol;250.0;48.0;12.0;250.0;5.5;2.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;fbbc72c26d356417ca3511452cc82e0ffd055be3fee96e48db4664dbd0e3dc30
MFR25_6F6_TUNG_SOL_bb59bc1cd9;[BLOKADA v2.44] 6F6 — Tung-Sol — READY;6F6;Tung-Sol;285.0;38.0;11.0;285.0;7.0;3.75;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;b6aac0bd93e45357162f162c421919090ce7e60cd09ea3b2acf24336544ca531
7189_TUNG_SOL_250_250;[BLOKADA v2.44] 7189 — Tung-Sol — READY;7189;Tung-Sol;250.0;48.0;12.0;250.0;5.5;2.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;246a2c464d2c74ac5f5aab7c0cf713c263763a0abba041f164bd874aa299e7b7
